brier	uncertainty	resolution	reliability	decomposition_residual	n_groups	model_id	display_name	input_mode
0.6545955414290154	0.5668444444444444	0.0032465608465608456	0.09025412751470949	0.0007435303164223805	3	tfidf_lr	TF-IDF LR	question_context
0.6519194909350912	0.5668444444444444	0.07557518433765573	0.15566519393619022	0.004985036892112271	17	tfidf_lr	TF-IDF LR	question_only
0.612814595674821	0.5668444444444444	0.0152191133669698	0.05697566063853396	0.0042136039588124286	8	tfidf_lr	TF-IDF LR	context_only
0.6550422152142409	0.5668444444444444	0.00414616796586331	0.0913530805158386	0.0009908582198212557	3	tfidf_lr	TF-IDF LR	question_shuffled_context_eval
0.6511110590613788	0.5668444444444444	0.0475710875331565	0.12745695748175173	0.004380744668339154	18	bert-base-uncased	BERT	question_context
0.905751299497302	0.5668444444444444	0.04960999468367889	0.36951829515914286	0.018998554577393634	16	bert-base-uncased	BERT	question_only
0.8399326320011586	0.5668444444444444	0.0450854554687372	0.324845342953897	-0.006671699928445518	18	bert-base-uncased	BERT	context_only
0.6581320499962309	0.5668444444444444	0.04658316166592028	0.13207705403441222	0.00579371318329458	15	bert-base-uncased	BERT	question_shuffled_context_eval
0.8899097769908818	0.5668444444444444	0.042015319865319874	0.3576026579331247	0.007477994478632621	14	allenai/scibert_scivocab_uncased	SciBERT	question_context
0.6377965412454013	0.5668444444444444	0.07206423634844686	0.13114313132497904	0.01187320182442475	15	allenai/scibert_scivocab_uncased	SciBERT	question_only
0.7300971873727992	0.5668444444444444	0.061270610870610864	0.2138016887632565	0.01072166503570915	18	allenai/scibert_scivocab_uncased	SciBERT	context_only
0.918603710422914	0.5668444444444444	0.0626670591449934	0.4157559253912887	-0.0013296002678256924	16	allenai/scibert_scivocab_uncased	SciBERT	question_shuffled_context_eval
0.5860753324482706	0.5668444444444444	0.043520872591460834	0.07339204361593948	-0.010640283020652452	17	dmis-lab/biobert-v1.1	BioBERT	question_context
0.817801907213726	0.5668444444444444	0.063222353085511	0.2886763290596051	0.025503486795187547	18	dmis-lab/biobert-v1.1	BioBERT	question_only
0.7010726337832758	0.5668444444444444	0.09309071669071667	0.22696794705992998	0.00035095896961812034	21	dmis-lab/biobert-v1.1	BioBERT	context_only
0.6953503418761352	0.5668444444444444	0.04639871212852958	0.166520446738677	0.008384162821543417	14	dmis-lab/biobert-v1.1	BioBERT	question_shuffled_context_eval
0.7033580924714422	0.5668444444444444	0.07911910847772917	0.22231908656111724	-0.006686330056390188	19	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	BiomedBERT	question_context
0.7487385126891857	0.5668444444444444	0.08111038019951063	0.2484626052168279	0.014541843227424023	19	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	BiomedBERT	question_only
0.8246431625603138	0.5668444444444444	0.08017718806820975	0.3528663814509445	-0.014890475266865377	19	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	BiomedBERT	context_only
0.928835407438011	0.5668444444444444	0.056306825481778025	0.40207281001814776	0.016224978457196837	18	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	BiomedBERT	question_shuffled_context_eval
0.617557102693454	0.5668444444444444	0.05120783062826406	0.09789931531949916	0.004021173557774538	16	michiyasunaga/BioLinkBERT-base	BioLinkBERT	question_context
0.6561446447895486	0.5668444444444444	0.08912013366750209	0.175749785453638	0.002670548558968311	17	michiyasunaga/BioLinkBERT-base	BioLinkBERT	question_only
0.7546097243439285	0.5668444444444444	0.037865969465969464	0.21875630887609368	0.006874940489359882	18	michiyasunaga/BioLinkBERT-base	BioLinkBERT	context_only
0.6814400553855691	0.5668444444444444	0.04224653993349646	0.1577287177851096	-0.0008865669104884955	14	michiyasunaga/BioLinkBERT-base	BioLinkBERT	question_shuffled_context_eval
0.7174502411651609	0.5668444444444444	0.05165890483785223	0.18825867251559983	0.014006029042968882	16	emilyalsentzer/Bio_ClinicalBERT	BioClinicalBERT	question_context
0.9247349968830331	0.5668444444444444	0.06520647747314413	0.4061544585801541	0.016942571331578726	17	emilyalsentzer/Bio_ClinicalBERT	BioClinicalBERT	question_only
0.974753429621156	0.5668444444444444	0.06805873015873015	0.471095745129509	0.004871970205932774	19	emilyalsentzer/Bio_ClinicalBERT	BioClinicalBERT	context_only
0.6714249966206118	0.5668444444444444	0.03241245946407237	0.12927358839837189	0.007719423241867918	12	emilyalsentzer/Bio_ClinicalBERT	BioClinicalBERT	question_shuffled_context_eval
